"np","S","I1","I2","gamma","alpha"
0,3782594.5,5582.712890625,103.595710754395,1.25775897502899,1.34574234485626
1,3796490.5,5518.478515625,102.374809265137,1.20991969108582,1.34579741954803
2,3795175,5508.27001953125,102.347236633301,1.21214711666107,1.34667479991913
3,3774842.25,5325.365234375,98.9796600341797,1.19084715843201,1.3472683429718
4,3836611.5,5837.12646484375,108.332717895508,1.21632969379425,1.34547448158264
5,3836611.5,5837.12646484375,108.332717895508,1.21632969379425,1.34547448158264
6,3836611.5,5837.12646484375,108.332717895508,1.21632969379425,1.34547448158264
7,3836611.5,5837.12646484375,108.332717895508,1.21632969379425,1.34547448158264
8,3836611.5,5837.12646484375,108.332717895508,1.21632969379425,1.34547448158264
9,3869133.25,5972.48974609375,110.570327758789,1.20375788211823,1.34413814544678
10,3869133.25,5972.48974609375,110.570327758789,1.20375788211823,1.34413814544678
11,3869133.25,5972.48974609375,110.570327758789,1.20375788211823,1.34413814544678
12,3869133.25,5972.48974609375,110.570327758789,1.20375788211823,1.34413814544678
13,3869133.25,5972.48974609375,110.570327758789,1.20375788211823,1.34413814544678
14,3851497.25,5908.8369140625,108.896614074707,1.21146333217621,1.34467446804047
15,3851497.25,5908.8369140625,108.896614074707,1.21146333217621,1.34467446804047
16,3835480.75,5970.8349609375,110.198715209961,1.25448930263519,1.34318864345551
17,3835480.75,5970.8349609375,110.198715209961,1.25448930263519,1.34318864345551
18,3822671.75,5914.861328125,109.778419494629,1.26723062992096,1.3431715965271
19,3822671.75,5914.861328125,109.778419494629,1.26723062992096,1.3431715965271
20,3768318.25,5544.7197265625,102.538803100586,1.2636890411377,1.3432469367981
21,3768318.25,5544.7197265625,102.538803100586,1.2636890411377,1.3432469367981
22,3773465.25,5496.8681640625,101.58283996582,1.24266481399536,1.34383177757263
23,3773465.25,5496.8681640625,101.58283996582,1.24266481399536,1.34383177757263
24,3773465.25,5496.8681640625,101.58283996582,1.24266481399536,1.34383177757263
25,3773465.25,5496.8681640625,101.58283996582,1.24266481399536,1.34383177757263
26,3773465.25,5496.8681640625,101.58283996582,1.24266481399536,1.34383177757263
27,3773465.25,5496.8681640625,101.58283996582,1.24266481399536,1.34383177757263
28,3773465.25,5496.8681640625,101.58283996582,1.24266481399536,1.34383177757263
29,3773465.25,5496.8681640625,101.58283996582,1.24266481399536,1.34383177757263
